Mozilla/5.0,(Windows,NT,6.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
AppleCoreMedia/1.0.0.12F69,(Apple,TV,,U,,CPU,OS,8_3,like,Mac,OS,X,,pt_br),,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
AppleCoreMedia/1.0.0.11D258,(Apple,TV,,U,,CPU,OS,7_1_2,like,Mac,OS,X,,pt_br),,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.3,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,5.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Macintosh,,Intel,Mac,OS,X,10.10,,rv:43.0),Gecko/20100101,Firefox/43.0,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(X11,,Linux,x86_64),AppleWebKit/537.36,(KHTML,,like,Gecko),Ubuntu,Chromium/37.0.2062.120,Chrome/37.0.2062.120,Safari/537.36,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.3,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,Win64,,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/46.0.2486.0,Safari/537.36,Edge/13.10586,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.3,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,10.0,,WOW64,,rv:43.0),Gecko/20100101,Firefox/43.0,,,,,,,,,,,,,,,,,,,,,
Mozilla/5.0,(Windows,NT,6.1,,WOW64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/47.0.2526.106,Safari/537.36,,,,,,,,,,,,,,,,,,
PlayStation,4,VideoPlayer/1.0,libhttp/3.11,(PlayStation,4),,,,,,,,,,,,,,,,,,,,,,,,,
